,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ambos sexos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 a 19,"326,286","334,996","344,009","353,324","362,942","372,871","383,122","393,698","404,608","415,851","427,430","439,330","451,535","464,033","476,771","489,704","503,170","516,966","531,043","545,320","559,752","573,965","588,306","602,948","618,055","633,716","650,141","667,596","686,414","706,869","728,712","752,308","777,485","803,766","830,852","858,855","887,060","915,313","943,543","971,933","1,000,173","1,028,154","1,055,783","1,083,197","1,110,094","1,137,303","1,164,830","1,193,816","1,224,320","1,256,471","1,290,311","1,325,811","1,362,585","1,401,840","1,442,269","1,483,321","1,523,203","1,560,845","1,595,506","1,626,659","1,653,740","1,676,459","1,694,878","1,714,173","1,735,090","1,764,480","1,792,069","1,809,379","1,807,118","1,799,063","1,779,363","1,759,140","1,747,592","1,749,654","1,751,957","1,754,626","1,761,337","1,768,380","1,778,774","1,791,208","1,804,019","1,813,680","1,823,898","1,831,286","1,834,473","1,834,033","1,829,483","1,820,420","1,806,903","1,791,373","1,774,773","1,757,415","1,739,633","1,721,744","1,704,018","1,686,685","1,669,915","1,653,823","1,638,472","1,623,897","1,610,095"
15,"69,560","71,422","73,345","75,331","77,380","79,495","81,676","83,927","86,247","88,641","91,114","93,661","96,293","99,009","101,826","104,733","108,109","111,297","114,486","117,659","120,826","124,008","127,248","130,580","134,042","137,651","141,435","145,400","149,598","154,055","158,481","163,728","169,247","174,878","180,546","186,211","191,854","197,492","203,130","209,010","214,674","220,327","225,972","231,695","237,487","243,441","249,520","256,075","262,752","269,727","276,954","284,415","292,022","299,997","307,974","315,765","322,908","329,237","334,748","339,465","343,155","345,912","347,927","354,317","360,661","372,819","373,758","365,461","352,218","352,471","352,657","352,879","353,214","353,660","354,177","354,758","359,053","359,748","363,573","366,166","367,154","368,310","369,588","370,589","368,991","366,367","363,424","360,193","356,737","353,133","349,450","345,761","342,117","338,568","335,139","331,860","328,742","325,789","322,992","320,352","317,854"
16,"67,359","69,162","71,023","72,946","74,932","76,981","79,096","81,276","83,527","85,844","88,233","90,694","93,220","95,819","98,468","101,187","103,958","107,204","110,243","113,266","116,271","119,278","122,317","125,435","128,662","132,020","135,550","139,305","143,309","147,619","152,225","156,791","162,155","167,724","173,371","179,043","184,707","190,350","195,985","201,611","207,451","213,037","218,570","224,080","229,571","235,206","240,963","247,028","253,590","260,298","267,334","274,653","282,217","290,274","298,502","306,716","314,475","321,575","327,877","333,363","338,055","341,721","344,456","346,447","352,806","359,124","371,254","372,186","363,899","350,713","351,021","351,264","351,542","351,930","352,425","352,990","353,616","357,951","358,687","362,548","365,176","366,199","367,389","368,699","369,731","368,164","365,571","362,658","359,457","356,029","352,452","348,795","345,130","341,509","337,984","334,576","331,318","328,219","325,285","322,506","319,882"
17,"65,208","66,952","68,755","70,616","72,538","74,524","76,573","78,687","80,866","83,115","85,426","87,802","90,240","92,731","95,260","97,809","100,390","103,029","106,119","108,987","111,835","114,673","117,533","120,446","123,453","126,572","129,847","133,344","137,140","141,258","145,721","150,471","155,157","160,572","166,157","171,806","177,477","183,139","188,778","194,399","199,983","205,740","211,201","216,593","221,888","227,240","232,699","238,441","244,512","251,103","257,872","264,998","272,419","280,401","288,679","297,114","305,293","313,004","320,073","326,344","331,800","336,463","340,102","342,807","344,770","351,097","357,391","369,497","370,426","362,197","349,088","349,460","349,765","350,101","350,545","351,092","351,707","352,381","356,758","357,536","361,435","364,100","365,160","366,386","367,729","368,794","367,260","364,700","361,820","358,650","355,252","351,704","348,075","344,435","340,840","337,340","333,955","330,719","327,641","324,727","321,967"
18,"63,107","64,788","66,532","68,335","70,194","72,115","74,101","76,149","78,262","80,437","82,678","84,973","87,322","89,717","92,137","94,568","96,989","99,432","101,912","104,825","107,512","110,187","112,872","115,601","118,400","121,294","124,326","127,567","131,105","135,018","139,293","143,902","148,776","153,514","158,945","164,531","170,177","175,845","181,502","187,125","192,701","198,199","203,826","209,140","214,337","219,517","224,716","230,159","235,906","242,006","248,655","255,512","262,738","270,499","278,625","287,044","295,448","303,583","311,260","318,296","324,535","329,960","334,594","338,201","340,876","342,813","349,116","355,395","367,476","368,459","360,312","347,298","347,740","348,113","348,513","349,018","349,622","350,293","351,018","355,439","356,265","360,205","362,910","364,011","365,276","366,655","367,755","366,258","363,735","360,890","357,754","354,389","350,873","347,275","343,663","340,097","336,623","333,264","330,052","326,997","324,105"
19,"61,053","62,672","64,354","66,096","67,898","69,756","71,676","73,659","75,706","77,814","79,979","82,200","84,460","86,757","89,080","91,407","93,724","96,004","98,283","100,583","103,308","105,819","108,336","110,886","113,498","116,179","118,983","121,980","125,262","128,919","132,992","137,416","142,150","147,078","151,833","157,264","162,845","168,487","174,148","179,788","185,364","190,851","196,214","201,689","206,811","211,899","216,932","222,113","227,560","233,337","239,496","246,233","253,189","260,669","268,489","276,682","285,079","293,446","301,548","309,191","316,195","322,403","327,799","332,401","335,977","338,627","340,550","346,840","353,099","365,223","366,285","358,239","345,331","345,850","346,297","346,768","347,339","348,007","348,738","349,519","353,989","354,866","358,851","361,601","362,746","364,053","365,473","366,611","365,154","362,671","359,865","356,766","353,438","349,957","346,392","342,812","339,277","335,832","332,502","329,315","326,287"
20 a 24,"276,099","283,344","290,857","298,648","306,724","315,096","323,762","332,726","341,982","351,519","361,308","371,293","381,399","391,521","401,707","411,945","422,240","432,245","441,855","451,056","459,948","469,114","478,541","488,396","498,774","509,650","520,753","532,603","545,659","560,399","577,097","595,748","616,207","638,058","661,009","684,537","709,053","734,511","760,774","787,673","815,237","842,558","869,263","895,207","920,776","946,152","971,150","996,097","1,021,288","1,046,911","1,073,654","1,101,948","1,132,259","1,164,268","1,197,312","1,231,803","1,268,500","1,307,003","1,346,910","1,387,449","1,427,741","1,466,818","1,503,711","1,537,625","1,568,041","1,594,424","1,616,552","1,634,538","1,653,433","1,674,411","1,704,341","1,733,015","1,751,929","1,751,808","1,745,997","1,728,602","1,710,590","1,701,069","1,704,928","1,708,940","1,713,228","1,721,455","1,729,931","1,741,669","1,755,362","1,769,364","1,780,188","1,791,504","1,799,963","1,804,199","1,804,783","1,801,238","1,793,172","1,780,638","1,766,069","1,750,391","1,733,923","1,716,993","1,699,924","1,682,985","1,666,403"
20,"59,046","60,604","62,222","63,902","65,642","67,442","69,297","71,215","73,195","75,235","77,330","79,469","81,648","83,842","86,066","88,306","90,541","92,715","94,827","96,921","99,032","101,575","103,925","106,304","108,734","111,225","113,814","116,582","119,620","123,024","126,844","131,068","135,617","140,405","145,349","150,104","155,530","161,106","166,740","172,382","177,973","183,455","188,804","194,011","199,311","204,340","209,297","214,311","219,496","224,971","230,806","237,051","243,885","251,003","258,451","266,261","274,440","282,810","291,144","299,213","306,825","313,798","319,978","325,341","329,912","333,464","336,102","338,025","344,291","350,610","362,803","363,961","356,023","343,228","343,830","344,356","344,902","345,544","346,279","347,074","347,915","352,437","353,369","357,401","360,198","361,391","362,743","364,205","365,384","363,970","361,530","358,765","355,707","352,418","348,974","345,444","341,899","338,396","334,982","331,682","328,524"
21,"57,085","58,585","60,143","61,760","63,437","65,175","66,972","68,825","70,738","72,711","74,736","76,803","78,894","81,002","83,124","85,266","87,423","89,510","91,514","93,439","95,341","97,269","99,648","101,857","104,113","106,421","108,818","111,369","114,178","117,340","120,908","124,881","129,232","133,835","138,638","143,581","148,332","153,751","159,317","164,931","170,522","176,017","181,358","186,547","191,601","196,832","201,755","206,692","211,709","216,921","222,452","228,371","234,710","241,598","248,584","255,934","263,744","271,907","280,248","288,551","296,591","304,175","311,122","317,272","322,606","327,156","330,700","333,344","335,249","341,583","347,991","360,269","361,529","353,705","341,029","341,718","342,327","342,952","343,668","344,473","345,335","346,240","350,816","351,807","355,887","358,734","359,977","361,376","362,882","364,105","362,736","360,341","357,618","354,602","351,354","347,948","344,456","340,946","337,478","334,097","330,828"
22,"55,173","56,617","58,116","59,672","61,286","62,960","64,695","66,488","68,337","70,242","72,198","74,192","76,208","78,221","80,256","82,300","84,368","86,376","88,291","90,105","91,836","93,553","95,317","97,553","99,637","101,769","103,983","106,341","108,934","111,867","115,195","118,916","123,018","127,421","132,039","136,840","141,777","146,523","151,932","157,475","163,037","168,530","173,881","179,060","184,131","189,153","194,316","199,220","204,159","209,202","214,467","220,078","226,086","232,393","239,074","245,896","253,254","261,057","269,193","277,506","285,782","293,797","301,355","308,273","314,397","319,711","324,256","327,810","330,437","332,426","338,854","345,364","357,727","359,090","351,380","338,823","339,599","340,291","340,994","341,786","342,661","343,591","344,560","349,191","350,239","354,369","357,266","358,558","360,005","361,556","362,822","361,497","359,148","356,468","353,494","350,286","346,920","343,465","339,991","336,558","333,209"
23,"53,307","54,701","56,145","57,642","59,194","60,805","62,476","64,208","65,995","67,836","69,724","71,650","73,592","75,531","77,471","79,426","81,393","83,311","85,145","86,870","88,488","90,034","91,586","93,207","95,317","97,277","99,314","101,489","103,889","106,606","109,706","113,187","117,036","121,191","125,608","130,223","135,018","139,948","144,683","150,070","155,558","161,021","166,368","171,556","176,630","181,683","186,652","191,795","196,701","201,664","206,760","212,103","217,801","223,773","229,875","236,393","243,223","250,573","258,349","266,457","274,743","282,992","290,981","298,509","305,399","311,502","316,810","321,363","324,907","327,619","329,710","336,241","342,847","355,290","356,749","349,149","336,705","337,564","338,334","339,112","339,975","340,917","341,912","342,942","347,624","348,727","352,905","355,848","357,188","358,680","360,274","361,581","360,299","357,993","355,355","352,421","349,252","345,923","342,504","339,065","335,665"
24,"51,489","52,837","54,231","55,672","57,165","58,714","60,322","61,990","63,717","65,495","67,320","69,179","71,057","72,925","74,790","76,647","78,515","80,333","82,078","83,721","85,251","86,683","88,065","89,475","90,973","92,958","94,824","96,822","99,038","101,562","104,444","107,696","111,304","115,206","119,375","123,789","128,396","133,183","138,102","142,815","148,147","153,535","158,852","164,033","169,103","174,144","179,130","184,079","189,223","194,153","199,169","204,345","209,777","215,501","221,328","227,319","233,839","240,656","247,976","255,722","263,800","272,056","280,275","288,230","295,727","302,591","308,684","313,996","318,549","322,173","324,983","327,180","333,803","340,495","353,009","354,556","347,057","334,718","335,653","336,495","337,342","338,270","339,274","340,328","341,414","346,143","347,297","351,517","354,504","355,888","357,421","359,054","360,400","359,157","356,892","354,292","351,396","348,263","344,969","341,583","338,177"
25 a 29,"231,832","237,934","244,232","250,736","257,454","264,397","271,579","279,018","286,721","294,695","302,906","311,304","319,800","328,286","336,709","345,007","353,142","360,955","368,361","375,308","381,768","387,778","393,409","398,789","404,080","409,418","415,464","422,362","430,540","440,399","452,124","465,287","480,027","496,077","513,309","531,695","551,249","571,942","593,711","616,398","639,428","663,014","686,886","710,830","734,242","757,874","781,089","804,834","829,065","853,952","879,248","905,017","931,325","959,008","986,930","1,015,428","1,044,189","1,073,679","1,104,189","1,136,234","1,170,170","1,206,151","1,243,851","1,282,926","1,322,618","1,362,077","1,400,396","1,436,681","1,470,256","1,500,873","1,527,995","1,551,369","1,571,036","1,592,098","1,615,278","1,647,272","1,677,912","1,698,780","1,700,697","1,696,882","1,681,508","1,665,436","1,657,689","1,663,107","1,668,602","1,674,300","1,683,835","1,693,554","1,706,447","1,721,225","1,736,255","1,748,084","1,760,356","1,769,751","1,774,909","1,776,403","1,773,759","1,766,593","1,754,956","1,741,263","1,726,433"
25,"49,718","51,022","52,368","53,760","55,198","56,687","58,233","59,838","61,501","63,220","64,983","66,780","68,593","70,401","72,196","73,975","75,741","77,461","79,108","80,665","82,115","83,462","84,730","85,973","87,261","88,639","90,530","92,358","94,397","96,735","99,420","102,453","105,828","109,489","113,404","117,569","121,975","126,574","131,349","136,244","140,904","146,137","151,379","156,533","161,547","166,533","171,456","176,421","181,371","186,541","191,528","196,628","201,899","207,447","213,104","218,891","224,881","231,381","238,167","245,455","253,168","261,214","269,437","277,620","285,539","293,007","299,856","305,949","311,269","315,898","319,612","322,522","324,815","331,520","338,289","350,866","352,493","345,087","332,847","333,851","334,758","335,668","336,657","337,718","338,825","339,962","344,734","345,935","350,195","353,221","354,644","356,216","357,885","359,266","358,060","355,832","353,269","350,408","347,309","344,048","340,694"
26,"47,995","49,257","50,557","51,900","53,290","54,725","56,210","57,753","59,353","61,009","62,713","64,450","66,204","67,952","69,688","71,397","73,081","74,703","76,257","77,721","79,090","80,362","81,550","82,682","83,807","84,979","86,268","88,121","89,989","92,146","94,642","97,471","100,624","104,049","107,722","111,634","115,791","120,188","124,776","129,527","134,368","138,932","144,022","149,104","154,036","158,909","163,717","168,617","173,584","178,562","183,791","188,868","194,070","199,549","205,113","210,806","216,584","222,549","229,015","235,768","243,021","250,699","258,710","266,893","275,038","282,923","290,372","297,214","303,325","308,716","313,427","317,232","320,231","322,610","329,387","336,224","348,854","350,553","343,234","331,086","332,153","333,120","334,087","335,131","336,242","337,399","338,582","343,393","344,636","348,931","351,993","353,452","355,060","356,761","358,174","357,002","354,810","352,280","349,452","346,385","343,155"
27,"46,319","47,539","48,798","50,096","51,436","52,824","54,255","55,737","57,275","58,869","60,512","62,192","63,890","65,585","67,263","68,915","70,526","72,073","73,535","74,915","76,199","77,397","78,519","79,577","80,597","81,611","82,697","83,953","85,843","87,824","90,130","92,763","95,706","98,906","102,343","106,012","109,917","114,064","118,450","123,014","127,713","132,460","136,889","141,825","146,638","151,378","156,021","160,807","165,709","170,704","175,744","181,066","186,248","191,729","197,288","202,947","208,627","214,376","220,305","226,736","233,453","240,670","248,312","256,281","264,423","272,533","280,393","287,831","294,692","300,867","306,334","311,130","315,016","318,094","320,550","327,390","334,288","346,963","348,727","341,487","329,427","330,550","331,572","332,591","333,684","334,841","336,043","337,268","342,113","343,395","347,721","350,815","352,308","353,947","355,678","357,120","355,980","353,821","351,322","348,525","345,488"
28,"44,691","45,869","47,086","48,343","49,638","50,976","52,361","53,788","55,267","56,798","58,380","60,002","61,645","63,288","64,918","66,517","68,076","69,558","70,956","72,254","73,467","74,592","75,649","76,650","77,602","78,519","79,454","80,509","81,802","83,795","85,915","88,348","91,087","94,073","97,285","100,717","104,378","108,275","112,410","116,774","121,287","125,898","130,517","134,802","139,454","144,055","148,547","153,169","157,958","162,887","167,941","173,072","178,497","183,971","189,549","195,221","200,869","206,520","212,234","218,128","224,523","231,204","238,383","245,984","253,911","262,017","270,099","277,945","285,392","292,312","298,557","304,102","308,974","312,934","316,084","318,609","325,506","332,458","345,171","346,994","339,829","327,851","329,026","330,098","331,164","332,302","333,501","334,745","336,008","340,884","342,201","346,555","349,678","351,202","352,870","354,627","356,097","354,986","352,858","350,389","347,621"
29,"43,109","44,247","45,423","46,637","47,892","49,185","50,520","51,902","53,325","54,799","56,318","57,880","59,468","61,060","62,644","64,203","65,718","67,160","68,505","69,753","70,897","71,965","72,961","73,907","74,813","75,670","76,515","77,421","78,509","79,899","82,017","84,252","86,782","89,560","92,555","95,763","99,188","102,841","106,726","110,839","115,156","119,587","124,079","128,566","132,567","136,999","141,348","145,820","150,443","155,258","160,244","165,383","170,611","176,312","181,876","187,563","193,228","198,853","204,468","210,147","216,005","222,364","229,009","236,148","243,707","251,597","259,676","267,742","275,578","283,080","290,065","296,383","302,000","306,940","310,968","314,183","316,771","323,719","330,718","343,464","345,341","338,247","326,347","327,569","328,687","329,796","330,975","332,213","333,495","334,794","339,696","341,046","345,425","348,575","350,127","351,822","353,603","355,098","354,015","351,916","349,475"
30 a 34,"193,406","198,527","203,829","209,311","214,976","220,832","226,879","233,121","239,564","246,207","253,038","260,039","267,173","274,373","281,620","288,857","296,006","302,875","309,365","315,388","320,911","325,942","330,564","334,853","338,903","342,730","346,427","350,164","354,225","358,974","364,747","372,126","381,024","391,377","403,106","416,120","429,992","444,906","460,867","477,867","495,853","514,715","534,265","554,354","573,944","592,805","611,267","630,534","650,715","671,926","694,646","718,473","743,374","769,966","797,619","826,053","854,639","883,155","911,434","939,302","967,092","995,005","1,023,607","1,053,217","1,084,336","1,117,339","1,152,408","1,189,284","1,227,528","1,266,841","1,306,439","1,345,431","1,382,859","1,417,935","1,450,120","1,478,821","1,503,730","1,524,890","1,547,352","1,571,836","1,604,969","1,636,697","1,658,689","1,661,877","1,659,343","1,645,337","1,630,590","1,624,023","1,630,420","1,636,854","1,643,444","1,653,798","1,664,294","1,677,897","1,693,334","1,708,990","1,721,448","1,734,310","1,744,296","1,750,056","1,752,163"
30,"41,574","42,672","43,808","44,981","46,193","47,446","48,736","50,069","51,448","52,866","54,329","55,831","57,362","58,904","60,443","61,963","63,448","64,857","66,177","67,387","68,498","69,512","70,463","71,360","72,221","73,041","73,833","74,652","75,588","76,762","78,266","80,486","82,805","85,370","88,157","91,148","94,349","97,765","101,408","105,272","109,343","113,585","117,909","122,280","126,489","130,274","134,455","138,787","143,261","147,907","152,774","157,839","163,067","168,548","174,327","179,993","185,676","191,322","196,909","202,488","208,132","213,954","220,278","226,882","233,981","241,503","249,364","257,426","265,464","273,351","280,912","287,965","294,347","300,028","305,029","309,118","312,392","315,037","322,029","329,070","341,842","343,768","336,740","324,915","326,179","327,338","328,487","329,703","330,977","332,293","333,624","338,551","339,930","344,331","347,505","349,083","350,802","352,606","354,124","353,066","350,995"
31,"40,084","41,143","42,241","43,375","44,546","45,756","47,007","48,295","49,625","50,999","52,408","53,854","55,329","56,819","58,315","59,799","61,254","62,645","63,945","65,146","66,235","67,230","68,143","69,006","69,827","70,613","71,375","72,144","72,988","74,000","75,274","76,869","79,162","81,512","84,084","86,867","89,851","93,045","96,450","100,075","103,901","107,904","112,049","116,266","120,349","124,323","127,846","132,009","136,343","140,840","145,535","150,477","155,626","161,104","166,671","172,559","178,225","183,892","189,499","195,049","200,593","206,201","211,988","218,272","224,836","231,899","239,392","247,235","255,251","263,335","271,276","278,898","286,010","292,449","298,186","303,242","307,384","310,710","313,406","320,435","327,511","340,304","342,274","335,308","323,553","324,856","326,052","327,237","328,487","329,793","331,139","332,500","337,448","338,853","343,274","346,469","348,071","349,811","351,636","353,175","352,141"
32,"38,638","39,661","40,720","41,816","42,948","44,118","45,326","46,575","47,860","49,186","50,552","51,946","53,368","54,806","56,256","57,705","59,133","60,506","61,802","62,997","64,093","65,081","65,986","66,823","67,620","68,375","69,109","69,850","70,641","71,550","72,649","74,003","75,663","77,983","80,338","82,907","85,684","88,660","91,844","95,233","98,823","102,590","106,507","110,557","114,486","118,326","122,032","125,541","129,707","134,061","138,604","143,369","148,389","153,778","159,339","165,018","170,908","176,560","182,190","187,759","193,273","198,781","204,354","210,104","216,349","222,877","229,911","237,386","245,174","253,232","261,365","269,360","277,034","284,197","290,686","296,471","301,573","305,762","309,133","311,874","318,934","326,042","338,849","340,858","333,950","322,261","323,599","324,829","326,045","327,326","328,661","330,034","331,421","336,387","337,817","342,255","345,468","347,091","348,850","350,694","352,252"
33,"37,236","38,223","39,246","40,303","41,397","42,528","43,696","44,902","46,148","47,430","48,748","50,101","51,474","52,862","54,265","55,677","57,081","58,436","59,727","60,932","62,034","63,042","63,953","64,792","65,572","66,310","67,021","67,735","68,495","69,342","70,326","71,494","72,904","74,589","76,913","79,264","81,828","84,598","87,566","90,734","94,092","97,630","101,322","105,155","108,928","112,621","116,202","119,895","123,407","127,592","131,987","136,593","141,430","146,667","152,131","157,794","163,476","169,355","174,969","180,562","186,094","191,573","197,047","202,582","208,295","214,505","221,005","228,020","235,445","243,271","251,371","259,553","267,592","275,310","282,515","289,046","294,872","300,013","304,241","307,652","310,432","317,519","324,653","337,469","339,513","332,659","321,033","322,401","323,662","324,906","326,214","327,575","328,973","330,383","335,364","336,816","341,269","344,498","346,139","347,916","349,777"
34,"35,876","36,828","37,814","38,836","39,892","40,984","42,114","43,280","44,483","45,726","47,001","48,307","49,640","50,982","52,341","53,713","55,090","56,431","57,714","58,926","60,051","61,077","62,019","62,872","63,663","64,391","65,089","65,783","66,513","67,320","68,232","69,274","70,490","71,923","73,614","75,934","78,280","80,838","83,599","86,553","89,694","93,006","96,478","100,096","103,692","107,261","110,732","114,302","117,997","121,526","125,746","130,195","134,862","139,869","145,151","150,689","156,354","162,026","167,867","173,444","179,000","184,496","189,940","195,377","200,875","206,555","212,736","219,217","226,194","233,652","241,515","249,655","257,876","265,951","273,704","280,944","287,509","293,368","298,543","302,805","306,250","309,064","316,173","323,327","336,148","338,223","331,419","319,853","321,249","322,536","323,806","325,138","326,522","327,943","329,374","334,367","335,838","340,304","343,547","345,205","346,998"
35 a 39,"160,374","164,655","169,081","173,666","178,413","183,329","188,414","193,676","199,116","204,733","210,518","216,452","222,501","228,639","234,875","241,220","247,668","254,066","260,342","266,431","272,275","277,825","283,044","287,920","292,444","296,589","300,399","303,992","307,522","311,178","315,101","319,372","324,058","329,218","334,962","341,456","349,246","358,262","368,568","380,153","392,920","406,397","420,689","435,749","451,225","467,034","482,990","499,369","516,234","533,657","551,427","570,167","590,022","611,060","633,193","657,021","682,196","708,486","735,501","763,176","790,992","818,764","846,345","873,695","900,640","927,515","954,549","982,329","1,011,241","1,041,944","1,074,814","1,110,020","1,147,281","1,186,324","1,226,440","1,266,825","1,306,564","1,344,714","1,380,502","1,413,394","1,442,802","1,468,431","1,490,319","1,513,459","1,538,562","1,572,178","1,604,369","1,626,901","1,630,827","1,629,081","1,615,993","1,602,151","1,596,357","1,603,330","1,610,320","1,617,440","1,628,262","1,639,202","1,653,201","1,668,993","1,684,979"
